Epoch, TrainLoss, TrainDCI, ValLoss, ValDCI, LR
1, 1.0844, 0.6993, 1.1051, 0.5643, 0.000100
2, 1.0740, 0.7064, 1.0954, 0.5986, 0.000100
3, 1.0671, 0.7049, 1.0772, 0.6222, 0.000100
4, 1.0598, 0.6897, 1.0724, 0.6916, 0.000100
5, 1.0461, 0.7147, 1.0622, 0.5643, 0.000100
6, 1.0398, 0.6909, 1.0606, 0.6850, 0.000100
7, 1.0305, 0.6871, 1.0438, 0.5899, 0.000100
8, 1.0207, 0.7043, 1.0343, 0.7198, 0.000100
9, 1.0137, 0.6822, 1.0464, 0.6144, 0.000100
10, 1.0069, 0.6897, 1.0272, 0.6600, 0.000100
11, 0.9948, 0.6972, 1.0260, 0.6255, 0.000100
12, 0.9865, 0.6988, 1.0253, 0.6251, 0.000100
13, 0.9795, 0.6812, 1.0294, 0.5655, 0.000100
14, 0.9727, 0.6832, 0.9830, 0.5892, 0.000100
15, 0.9611, 0.6996, 1.0189, 0.5989, 0.000100
16, 0.9523, 0.6819, 0.9875, 0.5750, 0.000100
17, 0.9448, 0.6854, 0.9821, 0.6467, 0.000100
18, 0.9317, 0.7148, 0.9757, 0.6459, 0.000100
19, 0.9200, 0.6894, 0.9667, 0.5957, 0.000100
20, 0.9093, 0.7099, 0.9621, 0.6431, 0.000100
